#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
South Korea,74.318904 ,8.209041 ,0.746027 ,4.514795 ,0.037534 ,58.146575 ,39.610959 ,5.582466 ,31.902192 ,36.987123 ,100.735890 ,21.424932 ,64.824384 ,32.606301 ,73.420822 ,90.077260 ,369.373699 ,72.953973 ,110.172329 ,93.887671 ,27.495342 ,29.629041 ,58.754795 ,28.760548 ,257.225753 ,339.608493 ,67.640000 ,6.991507 ,14.734521 ,46.138630 ,8.703014 ,109.562192 ,71.833699 ,46.189589 ,79.984384 ,259.382740 ,344.034521 ,266.355068 ,153.365205 ,285.954247 ,225.741644 ,201.970959 ,45.723288 ,52.342466 ,5.513151 
Latvia,3.238630 ,0.107671 ,0.003288 ,0.397534 ,0.000822 ,1.856986 ,0.465479 ,2.398356 ,0.391233 ,0.003014 ,0.307671 ,0.277260 ,0.248493 ,0.701644 ,0.008767 ,0.841370 ,0.356164 ,0.322740 ,0.332877 ,0.258082 ,0.106027 ,0.845753 ,2.010137 ,0.724110 ,5.460822 ,11.354247 ,3.136986 ,0.163836 ,0.494795 ,3.206301 ,0.269315 ,1.578356 ,0.458904 ,1.386301 ,2.803562 ,3.061644 ,10.066849 ,3.772329 ,2.577808 ,6.218904 ,3.872055 ,3.058082 ,1.560274 ,0.732055 ,0.147397 
Lithuania,4.160548 ,0.096712 ,0.203562 ,0.124932 ,0.066027 ,5.232603 ,1.839452 ,1.687945 ,1.140548 ,1.020548 ,1.944932 ,0.277808 ,1.500000 ,0.871781 ,0.073973 ,1.422466 ,0.698904 ,0.461096 ,0.754795 ,0.516438 ,0.322192 ,4.424932 ,2.297808 ,1.327123 ,9.162192 ,23.602740 ,10.933973 ,0.302740 ,0.222192 ,4.249041 ,0.308767 ,2.355342 ,0.648493 ,1.508767 ,2.786027 ,2.981918 ,8.628219 ,5.212055 ,4.268219 ,7.612603 ,5.865205 ,5.566575 ,1.545479 ,1.259452 ,0.125753 
Luxembourg,0.439178 ,0.000000 ,0.000000 ,0.091507 ,0.027945 ,0.907671 ,0.761096 ,0.109041 ,0.246027 ,0.000000 ,0.411781 ,0.097534 ,1.259178 ,0.755342 ,2.404658 ,0.870959 ,0.242466 ,0.096164 ,1.342192 ,0.125205 ,0.006575 ,0.309315 ,1.410959 ,0.856986 ,10.427671 ,16.781644 ,4.496438 ,0.281644 ,2.069589 ,0.853425 ,0.551233 ,2.932877 ,1.388493 ,4.255068 ,6.945479 ,45.893973 ,12.821644 ,14.545753 ,7.373151 ,10.477808 ,7.500274 ,10.596164 ,1.113425 ,1.381096 ,0.479452 
Mexico,109.675342 ,3.559726 ,90.166575 ,34.343014 ,11.700548 ,148.204384 ,22.846301 ,4.647397 ,13.774247 ,22.326301 ,29.537534 ,10.350959 ,17.029863 ,15.133425 ,36.980548 ,19.924384 ,49.925479 ,18.910685 ,25.317534 ,118.159726 ,9.140822 ,19.569041 ,55.847671 ,12.250137 ,249.124658 ,638.148767 ,172.919452 ,2.649863 ,7.035342 ,26.126027 ,4.307945 ,76.169315 ,12.219452 ,40.292055 ,3.607671 ,135.704110 ,313.303562 ,78.064384 ,121.874247 ,124.374247 ,122.858356 ,73.462466 ,13.811507 ,29.629863 ,14.245753 
Netherlands,40.209041 ,1.115890 ,18.568767 ,1.371507 ,3.241096 ,52.468219 ,3.784384 ,3.538630 ,10.732329 ,3.884658 ,38.863562 ,8.458356 ,9.858904 ,6.892877 ,7.863288 ,24.243288 ,14.659178 ,9.487123 ,38.886027 ,9.551781 ,4.398904 ,29.247123 ,26.170959 ,14.338904 ,105.266301 ,307.880548 ,39.636438 ,8.898356 ,12.417534 ,39.161096 ,6.582466 ,47.642192 ,17.004110 ,24.243288 ,70.568767 ,150.265753 ,164.077534 ,181.466575 ,160.985205 ,156.479452 ,109.746027 ,203.720548 ,24.945205 ,25.210411 ,2.348219 
New Zealand,27.272329 ,4.870137 ,2.477534 ,2.694795 ,0.239178 ,20.642740 ,1.245753 ,2.973699 ,2.919726 ,4.123014 ,2.099726 ,0.571781 ,2.728767 ,2.222740 ,1.627671 ,4.538356 ,1.653425 ,1.688493 ,3.823288 ,1.056438 ,1.451781 ,1.458904 ,11.762466 ,4.153151 ,37.958082 ,53.159726 ,9.550959 ,0.855068 ,4.440822 ,8.286575 ,1.756712 ,12.673151 ,3.687397 ,3.341370 ,6.063288 ,32.275890 ,74.596164 ,45.240000 ,17.980822 ,22.507945 ,24.226301 ,33.929589 ,7.400548 ,10.502192 ,0.000000 
Norway,6.747945 ,15.653151 ,194.408219 ,1.866849 ,9.769589 ,14.386027 ,1.249041 ,3.059726 ,2.308219 ,1.278630 ,4.957534 ,2.896164 ,1.276164 ,3.368493 ,5.017260 ,5.751233 ,3.023836 ,2.250685 ,5.343288 ,0.866575 ,5.473425 ,7.661370 ,28.424384 ,7.345753 ,69.233425 ,81.110411 ,19.098630 ,11.499452 ,2.591507 ,9.106849 ,3.245479 ,15.166849 ,10.735068 ,10.802740 ,20.708767 ,51.433425 ,79.529589 ,47.111233 ,29.418904 ,69.776438 ,55.772603 ,116.121644 ,9.597808 ,10.765205 ,0.081918 
Poland,37.380548 ,0.252603 ,13.934795 ,7.867945 ,2.810959 ,44.393699 ,8.358630 ,10.003836 ,14.470411 ,8.364658 ,11.813973 ,6.475068 ,20.996986 ,16.148219 ,7.656164 ,31.479726 ,6.601918 ,11.025753 ,13.116438 ,22.499178 ,5.426027 ,30.368493 ,39.077534 ,18.628767 ,107.733151 ,250.275342 ,61.784658 ,0.556986 ,2.210411 ,30.026849 ,4.427671 ,18.615342 ,11.699452 ,16.173425 ,32.217808 ,58.653973 ,68.874795 ,83.302740 ,37.030959 ,77.080822 ,64.542466 ,62.858630 ,10.816438 ,19.093151 ,1.895616 
Portugal,12.430411 ,1.107945 ,0.000000 ,1.934795 ,0.053699 ,13.711233 ,13.868219 ,3.321096 ,4.914521 ,1.756438 ,2.611781 ,1.915616 ,4.090959 ,4.868219 ,1.569589 ,7.981918 ,1.740274 ,2.051507 ,2.926575 ,5.645753 ,0.615068 ,6.628493 ,14.979178 ,5.435616 ,24.080274 ,79.052329 ,11.189041 ,0.417534 ,3.316986 ,11.421096 ,1.613699 ,34.521370 ,3.330959 ,7.540548 ,9.184658 ,27.963562 ,71.561644 ,21.858082 ,22.713699 ,39.747671 ,32.867123 ,36.605205 ,5.310411 ,7.683836 ,3.588767 
